player_sum,dealer_showing,soft,double_possible,split_possible,true_count,action
6,6,False,True,False,-6,double
6,6,False,True,False,-5,double
6,6,False,True,False,-4,double
6,6,False,True,False,-3,double
6,6,False,True,False,-2,double
6,6,False,True,False,-1,double
6,6,False,True,False,0,double
6,6,False,True,False,1,double
6,6,False,True,False,2,double
6,6,False,True,False,3,double
6,6,False,True,False,4,double
6,6,False,True,False,5,double
6,6,False,True,False,6,double
6,6,False,True,False,7,double
6,6,False,True,False,8,double
6,6,False,True,False,9,stand
6,6,False,True,False,10,stand
6,6,False,True,False,11,double
6,6,False,True,False,12,draw
6,6,False,True,True,-9,double
6,6,False,True,True,-8,stand
6,6,False,True,True,-7,draw
6,6,False,True,True,-6,double
6,6,False,True,True,-5,double
6,6,False,True,True,-4,draw
6,6,False,True,True,-3,draw
6,6,False,True,True,-2,double
6,6,False,True,True,-1,split
6,6,False,True,True,0,double
6,6,False,True,True,1,double
6,6,False,True,True,2,draw
6,6,False,True,True,3,double
6,6,False,True,True,4,double
6,6,False,True,True,5,split
6,6,False,True,True,6,double
6,6,False,True,True,7,double
6,6,False,True,True,8,double
6,6,False,True,True,9,stand
6,6,False,True,True,10,split
6,6,False,True,True,11,stand
6,6,False,True,True,12,draw
6,7,False,False,False,-4,stand
6,7,False,False,False,-2,draw
6,7,False,False,False,-1,draw
6,7,False,False,False,0,stand
6,7,False,False,False,1,draw
6,7,False,False,False,2,draw
6,7,False,False,False,3,stand
6,7,False,False,False,5,stand
6,7,False,False,False,7,draw
6,7,False,False,False,8,draw
6,7,False,True,False,-10,stand
6,7,False,True,False,-9,stand
6,7,False,True,False,-8,stand
6,7,False,True,False,-7,draw
6,7,False,True,False,-6,stand
6,7,False,True,False,-5,double
6,7,False,True,False,-4,double
6,7,False,True,False,-3,double
6,7,False,True,False,-2,double
6,7,False,True,False,-1,double
6,7,False,True,False,0,double
6,7,False,True,False,1,double
6,7,False,True,False,2,double
6,7,False,True,False,3,double
6,7,False,True,False,4,double
6,7,False,True,False,5,double
6,7,False,True,False,6,double
6,7,False,True,False,7,double
6,7,False,True,False,8,double
6,7,False,True,False,9,stand
6,7,False,True,False,10,double
6,7,False,True,False,11,draw
6,7,False,True,False,12,stand
6,7,False,True,True,-8,stand
6,7,False,True,True,-7,double
6,7,False,True,True,-6,double
6,7,False,True,True,-5,double
6,7,False,True,True,-4,draw
6,7,False,True,True,-3,double
6,7,False,True,True,-2,double
6,7,False,True,True,-1,double
6,7,False,True,True,0,double
6,7,False,True,True,1,double
6,7,False,True,True,2,double
6,7,False,True,True,3,double
6,7,False,True,True,4,split
6,7,False,True,True,5,double
6,7,False,True,True,6,double
6,7,False,True,True,7,split
6,7,False,True,True,8,double
6,7,False,True,True,9,double
6,7,False,True,True,10,stand
6,8,False,False,False,-2,draw
6,8,False,False,False,-1,draw
6,8,False,False,False,1,stand
6,8,False,False,False,2,stand
6,8,False,False,False,4,draw
6,8,False,False,False,7,stand
6,8,False,False,False,8,stand
6,8,False,True,False,-11,stand
6,8,False,True,False,-10,draw
6,8,False,True,False,-8,draw
6,8,False,True,False,-7,draw
6,8,False,True,False,-6,double
6,8,False,True,False,-5,double
6,8,False,True,False,-4,stand
6,8,False,True,False,-3,double
6,8,False,True,False,-2,double
6,8,False,True,False,-1,double
6,8,False,True,False,0,double
6,8,False,True,False,1,double
6,8,False,True,False,2,double
6,8,False,True,False,3,double
6,8,False,True,False,4,double
6,8,False,True,False,5,double
6,8,False,True,False,6,double
6,8,False,True,False,7,double
6,8,False,True,False,8,double
6,8,False,True,False,9,double
6,8,False,True,False,10,double
6,8,False,True,False,11,stand
6,8,False,True,True,-8,draw
6,8,False,True,True,-7,stand
6,8,False,True,True,-6,split
6,8,False,True,True,-5,double
6,8,False,True,True,-4,split
6,8,False,True,True,-3,split
6,8,False,True,True,-2,split
6,8,False,True,True,-1,split
6,8,False,True,True,0,double
6,8,False,True,True,1,double
6,8,False,True,True,2,double
6,8,False,True,True,3,double
6,8,False,True,True,4,double
6,8,False,True,True,5,double
6,8,False,True,True,6,double
6,8,False,True,True,7,double
6,8,False,True,True,8,stand
6,8,False,True,True,9,stand
6,8,False,True,True,10,stand
6,8,False,True,True,11,draw
6,9,False,False,False,-5,draw
6,9,False,False,False,0,stand
6,9,False,False,False,2,draw
6,9,False,False,False,3,draw
6,9,False,False,False,4,draw
6,9,False,False,False,9,draw
6,9,False,True,False,-11,stand
6,9,False,True,False,-9,draw
6,9,False,True,False,-8,double
6,9,False,True,False,-7,draw
6,9,False,True,False,-6,stand
6,9,False,True,False,-5,draw
6,9,False,True,False,-4,double
6,9,False,True,False,-3,double
6,9,False,True,False,-2,double
6,9,False,True,False,-1,double
6,9,False,True,False,0,double
6,9,False,True,False,1,double
6,9,False,True,False,2,double
6,9,False,True,False,3,double
6,9,False,True,False,4,double
6,9,False,True,False,5,double
6,9,False,True,False,6,double
6,9,False,True,False,7,double
6,9,False,True,False,8,stand
6,9,False,True,False,9,double
6,9,False,True,False,10,double
6,9,False,True,False,11,draw
6,9,False,True,True,-9,double
6,9,False,True,True,-8,double
6,9,False,True,True,-7,draw
6,9,False,True,True,-6,double
6,9,False,True,True,-5,double
6,9,False,True,True,-4,double
6,9,False,True,True,-3,double
6,9,False,True,True,-2,double
6,9,False,True,True,-1,double
6,9,False,True,True,0,double
6,9,False,True,True,1,double
6,9,False,True,True,2,double
6,9,False,True,True,3,double
6,9,False,True,True,4,double
6,9,False,True,True,5,double
6,9,False,True,True,6,double
6,9,False,True,True,7,double
6,9,False,True,True,8,split
6,9,False,True,True,9,double
6,9,False,True,True,10,stand
